Datum;Zeit;Time;Lu_Gecko - microwave(02Alex) Wirkenergie(kWh)
20.03.2024;03:39:37;2024-03-20T03:39:37+01:00;5.659
20.03.2024;03:34:37;2024-03-20T03:34:37+01:00;5.659
20.03.2024;03:29:37;2024-03-20T03:29:37+01:00;5.659
20.03.2024;03:24:37;2024-03-20T03:24:37+01:00;5.659
20.03.2024;03:19:37;2024-03-20T03:19:37+01:00;5.659
20.03.2024;03:14:37;2024-03-20T03:14:37+01:00;5.659
20.03.2024;03:09:37;2024-03-20T03:09:37+01:00;5.659
20.03.2024;03:04:37;2024-03-20T03:04:37+01:00;5.659
20.03.2024;02:59:37;2024-03-20T02:59:37+01:00;5.659
20.03.2024;02:54:37;2024-03-20T02:54:37+01:00;5.659
20.03.2024;02:49:37;2024-03-20T02:49:37+01:00;5.659
20.03.2024;02:44:37;2024-03-20T02:44:37+01:00;5.659
20.03.2024;02:39:37;2024-03-20T02:39:37+01:00;5.659
20.03.2024;02:34:37;2024-03-20T02:34:37+01:00;5.659
20.03.2024;02:29:37;2024-03-20T02:29:37+01:00;5.659
20.03.2024;02:24:37;2024-03-20T02:24:37+01:00;5.659
20.03.2024;02:19:37;2024-03-20T02:19:37+01:00;5.659
20.03.2024;02:14:37;2024-03-20T02:14:37+01:00;5.659
20.03.2024;02:09:37;2024-03-20T02:09:37+01:00;5.659
20.03.2024;02:04:37;2024-03-20T02:04:37+01:00;5.659
20.03.2024;01:59:37;2024-03-20T01:59:37+01:00;5.659
20.03.2024;01:54:37;2024-03-20T01:54:37+01:00;5.659
20.03.2024;01:49:37;2024-03-20T01:49:37+01:00;5.659
20.03.2024;01:44:37;2024-03-20T01:44:37+01:00;5.659
20.03.2024;01:39:37;2024-03-20T01:39:37+01:00;5.659
20.03.2024;01:34:37;2024-03-20T01:34:37+01:00;5.659
20.03.2024;01:29:37;2024-03-20T01:29:37+01:00;5.659
20.03.2024;01:24:37;2024-03-20T01:24:37+01:00;5.659
20.03.2024;01:19:37;2024-03-20T01:19:37+01:00;5.659
20.03.2024;01:14:37;2024-03-20T01:14:37+01:00;5.659
20.03.2024;01:09:37;2024-03-20T01:09:37+01:00;5.659
20.03.2024;01:04:37;2024-03-20T01:04:37+01:00;5.659
20.03.2024;00:59:37;2024-03-20T00:59:37+01:00;5.659
20.03.2024;00:54:37;2024-03-20T00:54:37+01:00;5.659
20.03.2024;00:49:37;2024-03-20T00:49:37+01:00;5.659
20.03.2024;00:44:37;2024-03-20T00:44:37+01:00;5.659
20.03.2024;00:39:37;2024-03-20T00:39:37+01:00;5.659
20.03.2024;00:34:37;2024-03-20T00:34:37+01:00;5.659
20.03.2024;00:29:37;2024-03-20T00:29:37+01:00;5.659
20.03.2024;00:24:37;2024-03-20T00:24:37+01:00;5.659
20.03.2024;00:19:37;2024-03-20T00:19:37+01:00;5.659
20.03.2024;00:14:37;2024-03-20T00:14:37+01:00;5.659
20.03.2024;00:09:37;2024-03-20T00:09:37+01:00;5.659
20.03.2024;00:04:37;2024-03-20T00:04:37+01:00;5.659
19.03.2024;23:59:37;2024-03-19T23:59:37+01:00;5.659
19.03.2024;23:54:37;2024-03-19T23:54:37+01:00;5.659
19.03.2024;23:49:37;2024-03-19T23:49:37+01:00;5.659
19.03.2024;23:44:37;2024-03-19T23:44:37+01:00;5.659
19.03.2024;23:39:37;2024-03-19T23:39:37+01:00;5.659
19.03.2024;23:34:37;2024-03-19T23:34:37+01:00;5.659
19.03.2024;23:29:37;2024-03-19T23:29:37+01:00;5.659
19.03.2024;23:24:37;2024-03-19T23:24:37+01:00;5.659
19.03.2024;23:19:37;2024-03-19T23:19:37+01:00;5.659
19.03.2024;23:14:37;2024-03-19T23:14:37+01:00;5.659
19.03.2024;23:09:37;2024-03-19T23:09:37+01:00;5.659
19.03.2024;23:04:37;2024-03-19T23:04:37+01:00;5.659
19.03.2024;22:59:37;2024-03-19T22:59:37+01:00;5.659
19.03.2024;22:54:37;2024-03-19T22:54:37+01:00;5.659
19.03.2024;22:49:37;2024-03-19T22:49:37+01:00;5.659
19.03.2024;22:44:37;2024-03-19T22:44:37+01:00;5.659
19.03.2024;22:39:37;2024-03-19T22:39:37+01:00;5.659
19.03.2024;22:34:37;2024-03-19T22:34:37+01:00;5.659
19.03.2024;22:29:37;2024-03-19T22:29:37+01:00;5.659
19.03.2024;22:24:37;2024-03-19T22:24:37+01:00;5.659
19.03.2024;22:19:37;2024-03-19T22:19:37+01:00;5.659
19.03.2024;22:14:37;2024-03-19T22:14:37+01:00;5.659
19.03.2024;22:09:37;2024-03-19T22:09:37+01:00;5.659
19.03.2024;22:04:37;2024-03-19T22:04:37+01:00;5.659
19.03.2024;21:59:37;2024-03-19T21:59:37+01:00;5.659
19.03.2024;21:54:37;2024-03-19T21:54:37+01:00;5.659
19.03.2024;21:49:37;2024-03-19T21:49:37+01:00;5.659
19.03.2024;21:44:37;2024-03-19T21:44:37+01:00;5.659
19.03.2024;21:39:37;2024-03-19T21:39:37+01:00;5.659
19.03.2024;21:34:37;2024-03-19T21:34:37+01:00;5.659
19.03.2024;21:29:37;2024-03-19T21:29:37+01:00;5.659
19.03.2024;21:24:37;2024-03-19T21:24:37+01:00;5.659
19.03.2024;21:19:37;2024-03-19T21:19:37+01:00;5.659
